Listing...
libkrb5support0/stable 1.17-3+deb10u1 armhf [upgradable from: 1.17-3]
libldap-2.4-2/stable 2.4.47+dfsg-3+rpi1+deb10u6 armhf [upgradable from: 2.4.47+dfsg-3+rpi1+deb10u2]
libldap-common/stable 2.4.47+dfsg-3+rpi1+deb10u6 all [upgradable from: 2.4.47+dfsg-3+rpi1+deb10u2]
liblwres161/stable 1:9.11.5.P4+dfsg-5.1+deb10u5 armhf [upgradable from: 1:9.11.5.P4+dfsg-5.1+deb10u1]
libmagic-mgc/stable 1:5.35-4+deb10u2 armhf [upgradable from: 1:5.35-4+deb10u1]
libmagic1/stable 1:5.35-4+deb10u2 armhf [upgradable from: 1:5.35-4+deb10u1]
libnode-dev/stable 10.24.0~dfsg-1~deb10u1 armhf [upgradable from: 10.21.0~dfsg-1~deb10u1+rpi1]
libnode64/stable 10.24.0~dfsg-1~deb10u1 armhf [upgradable from: 10.21.0~dfsg-1~deb10u1+rpi1]
libopenjp2-7/stable 2.3.0-2+deb10u2 armhf [upgradable from: 2.3.0-2+deb10u1]
libp11-kit0/stable 0.23.15-2+deb10u1 armhf [upgradable from: 0.23.15-2]
libpam-systemd/stable 241-7~deb10u7+rpi1 armhf [upgradable from: 241-7~deb10u4+rpi1]
libpolkit-agent-1-0/testing 0.105-25+rpt1 armhf [upgradable from: 0.105-25]
libpolkit-backend-1-0/testing 0.105-25+rpt1 armhf [upgradable from: 0.105-25]
libpolkit-gobject-1-0/testing 0.105-25+rpt1 armhf [upgradable from: 0.105-25]
libportaudio2/stable 19.6.0-1+deb10u1 armhf [upgradable from: 19.6.0-1]
libpulse-dev/testing 12.2-4+deb10u1+rpi3 armhf [upgradable from: 12.2-4+deb10u1]
libpulse-mainloop-glib0/testing 12.2-4+deb10u1+rpi3 armhf [upgradable from: 12.2-4+deb10u1]
libpulse0/testing 12.2-4+deb10u1+rpi3 armhf [upgradable from: 12.2-4+deb10u1]
libpython3.7-minimal/stable 3.7.3-2+deb10u3 armhf [upgradable from: 3.7.3-2+deb10u1]
libpython3.7-stdlib/stable 3.7.3-2+deb10u3 armhf [upgradable from: 3.7.3-2+deb10u1]
libpython3.7/stable 3.7.3-2+deb10u3 armhf [upgradable from: 3.7.3-2+deb10u1]
libraspberrypi-bin/testing 1:1.20210527-1 armhf [upgradable from: 1.20200723-1]
libraspberrypi-dev/testing 1:1.20210527-1 armhf [upgradable from: 1.20200723-1]
libraspberrypi-doc/testing 1:1.20210527-1 armhf [upgradable from: 1.20200723-1]
libraspberrypi0/testing 1:1.20210527-1 armhf [upgradable from: 1.20200723-1]
libsqlite3-0/stable 3.27.2-3+deb10u1 armhf [upgradable from: 3.27.2-3]
libssl-dev/testing 1.1.1d-0+deb10u6+rpt1 armhf [upgradable from: 1.1.1d-0+deb10u3+rpt1]
libssl1.1/testing 1.1.1d-0+deb10u6+rpt1 armhf [upgradable from: 1.1.1d-0+deb10u3+rpt1]
libsystemd0/stable 241-7~deb10u7+rpi1 armhf [upgradable from: 241-7~deb10u4+rpi1]
libtiff5/stable 4.1.0+git191117-2~deb10u2 armhf [upgradable from: 4.1.0+git191117-2~deb10u1]
libudev-dev/stable 241-7~deb10u7+rpi1 armhf [upgradable from: 241-7~deb10u4+rpi1]
libudev1/stable 241-7~deb10u7+rpi1 armhf [upgradable from: 241-7~deb10u4+rpi1]
libx11-6/stable 2:1.6.7-1+deb10u2 armhf [upgradable from: 2:1.6.7-1]
libx11-data/stable 2:1.6.7-1+deb10u2 all [upgradable from: 2:1.6.7-1]
libx11-dev/stable 2:1.6.7-1+deb10u2 armhf [upgradable from: 2:1.6.7-1]
